Type,Vendor,Title,Option1 Name,Multiple Option Values (1),Option2 Name,Multiple Option Values (2),Option3 Name,Multiple Option Values (3),Image Src
Rims,Monster Energy Edition,Monster TIS 538 BM,Size,"17x9,18x9,20x9,20x10,20x12",Color,Black Milled,Wheels,"2,4,5,6",http://rimzoneonline.com/media/catalog/category/538BM_cat_1.jpg
Rims,Monster Energy Edition,Monster Dropstar 647 MB,Size,"18x9,20x9",Color,Black Machined,Wheels,"2,4,5,6",http://rimzoneonline.com/media/catalog/category/647MB_cat_1.jpg
Rims,Monster Energy Edition,Monster 645 MB,Size,"17x9, 18x9, 20x9",Color,Black Machined,Wheels,"2,4,5,6",http://rimzoneonline.com/media/catalog/category/645_cat_5.jpg
Rims,Monster Energy Edition,Monster TIS 539 Gloss BM,Size,"20x9, 22x12, 22x12, 20x12, 20x10, 20x9",Color,Gloss Black Milled,Wheels,"2,4,5,6",http://rimzoneonline.com/media/catalog/category/tis539BMcat_1.jpg
Rims,Monster Energy Edition,Monster Dropstar 648 Gloss MB,Size,20x9,Color,Gloss Black Machined,Wheels,"2,4,5,6",http://rimzoneonline.com/media/catalog/category/648MBcat_1.jpg
Rims,Monster Energy Edition,Monster Dropstar 648B,Size,"20x9, 22x9.5,20x10",Color,Satin Black,Wheels,"2,4,5,6",http://rimzoneonline.com/media/catalog/category/648Bcat_3.jpg
Rims,Monster Energy Edition,TIS 540,Size,"17x8.5,20x9,18x9",Color,Satin Black,Wheels,"2,4,5,6",http://rimzoneonline.com/media/catalog/category/540Bcat_3.jpg
Rims,Monster Energy Edition,Dropstar 649BA ,Size,"17x8.5, 18x9, 20x9",Color,Satin Black With Anthracite Beadlock,Wheels,"2,4,5,6",http://rimzoneonline.com/media/catalog/category/DS649BAcat_3.jpg
